2026/02/01 09:30:16 [warn] 225#225: *92 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /admin/?provider=&status=active&role=&query= HTTP/1.1", upstream: "http://172.18.0.3:80/admin/?provider=&status=active&role=&query=", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin/"
2026/02/01 10:20:19 [warn] 225#225: *188 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin/?provider=&status=active&role=moderator&query="
2026/02/01 12:18:19 [warn] 225#225: *226 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin/?provider=&status=&role=&query="
2026/02/01 12:48:27 [warn] 226#226: *243 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin/?provider=&status=&role=&query="
2026/02/01 12:55:05 [warn] 238#238: *259 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin/?provider=&status=&role=&query="
2026/02/01 13:00:16 [warn] 235#235: *328 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin?per_page=1&provider=email&page=3"
2026/02/01 13:01:23 [warn] 235#235: *323 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin?per_page=1&provider=email&page=3"
2026/02/01 13:30:52 [warn] 236#236: *362 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin?per_page=1&provider=email&page=2"
2026/02/02 02:16:37 [warn] 190#190: *24 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/"
2026/02/02 08:37:26 [warn] 190#190: *111 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /admin/users HTTP/1.1", upstream: "http://172.18.0.3:80/admin/users", host: "tiptipworld.com", referrer: "http://tiptipworld.com/dashboard"
2026/02/02 08:42:22 [warn] 191#191: *125 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 172.18.0.1, server: tiptipworld.com, request: "GET /images/logo-tip.png HTTP/1.1", upstream: "http://172.18.0.3:80/images/logo-tip.png", host: "tiptipworld.com", referrer: "http://tiptipworld.com/admin/users"
